,time,ctwl/nm,notch/dB,reflection/%,t-depth/dB,n_ac
259,2022-07-12 00:54:31,1544.3274,,33.37,1.7630,1.355237E-7
260,2022-07-12 00:56:00,1544.2402,,33.37,1.7630,1.355160E-7
261,2022-07-12 00:57:29,1544.1837,,33.40,1.7655,1.355111E-7
262,2022-07-12 00:58:58,1544.0984,,33.38,1.7640,1.355036E-7
263,2022-07-12 01:00:27,1544.0457,,29.12,1.4945,1.354990E-7
264,2022-07-12 01:01:56,1543.9661,,33.38,1.7640,1.354920E-7
265,2022-07-12 01:03:25,1543.9133,,33.40,1.7655,1.354873E-7
266,2022-07-12 01:04:54,1543.8347,,33.28,1.7575,1.354804E-7
267,2022-07-12 01:06:23,1543.7847,,33.26,1.7560,1.354761E-7
268,2022-07-12 01:07:51,1543.7114,,33.27,1.7565,1.354696E-7
269,2022-07-12 01:09:20,1543.6615,,33.24,1.7550,1.354652E-7
270,2022-07-12 01:10:49,1543.585,,25.95,1.3045,1.354585E-7
271,2022-07-12 01:12:18,1543.5431,,33.19,1.7515,1.354549E-7
272,2022-07-12 01:13:47,1543.4641,,33.20,1.7525,1.354479E-7
273,2022-07-12 01:15:16,1543.4193,,33.16,1.7495,1.354440E-7
274,2022-07-12 01:16:45,1543.3464,,19.11,0.9210,1.354376E-7
275,2022-07-12 01:18:14,1543.3059,,32.84,1.7290,1.354340E-7
276,2022-07-12 01:19:43,1543.2538,,32.76,1.7235,1.354295E-7
277,2022-07-12 01:21:11,1543.1968,,20.53,0.9980,1.354245E-7
278,2022-07-12 01:22:40,1543.1549,,32.59,1.7130,1.354208E-7
279,2022-07-12 01:24:09,1543.0859,,18.25,0.8750,1.354147E-7
280,2022-07-12 01:25:38,1543.0504,,33.07,1.7440,1.354116E-7
281,2022-07-12 01:27:07,1542.9988,,32.66,1.7170,1.354071E-7
282,2022-07-12 01:28:36,1542.9457,,30.71,1.5935,1.354024E-7
283,2022-07-12 01:30:05,1542.9078,,32.67,1.7180,1.353991E-7
284,2022-07-12 01:31:34,1542.8538,,33.04,1.7420,1.353944E-7
285,2022-07-12 01:33:03,1542.8046,,33.08,1.7445,1.353900E-7
286,2022-07-12 01:34:32,1542.7732,,32.85,1.7295,1.353873E-7
287,2022-07-12 01:36:01,1542.7056,,33.03,1.7415,1.353814E-7
288,2022-07-12 01:37:30,1542.6664,,31.53,1.6450,1.353779E-7
289,2022-07-12 01:38:58,1542.6339,,32.76,1.7240,1.353751E-7
290,2022-07-12 01:40:27,1542.5677,,32.98,1.7380,1.353693E-7
291,2022-07-12 01:41:56,1542.5321,,18.56,0.8915,1.353661E-7
292,2022-07-12 01:43:25,1542.4877,,32.96,1.7365,1.353622E-7
293,2022-07-12 01:44:54,1542.437,,26.29,1.3245,1.353578E-7
294,2022-07-12 01:46:23,1542.4019,,32.93,1.7345,1.353547E-7
295,2022-07-12 01:47:52,1542.3615,,32.96,1.7365,1.353512E-7
296,2022-07-12 01:49:21,1542.3092,,32.93,1.7350,1.353466E-7
