,ctwl/nm,peak/dB
806,1542.768,43.12
807,1542.752,43.119
808,1542.736,43.114
809,1542.724,43.113
810,1542.708,43.112
811,1542.692,43.111
812,1542.676,43.108
813,1542.66,43.104
814,1542.648,43.103
815,1542.632,43.1
816,1542.616,43.101
817,1542.604,43.095
818,1542.588,43.096
819,1542.576,43.092
820,1542.56,43.089
821,1542.548,43.087
822,1542.532,43.095
823,1542.516,43.094
824,1542.504,43.086
825,1542.488,43.082
826,1542.476,43.079
827,1542.46,43.076
828,1542.448,43.08
829,1542.432,43.076
830,1542.42,43.079
831,1542.404,43.075
832,1542.392,43.071
833,1542.376,43.074
834,1542.364,43.069
835,1542.352,43.071
836,1542.336,43.073
837,1542.32,43.071
838,1542.308,43.065
839,1542.296,43.058
840,1542.284,43.06
841,1542.268,43.055
842,1542.256,43.06
843,1542.244,43.066
844,1542.228,43.058
845,1542.216,43.059
846,1542.204,43.058
847,1542.192,43.052
848,1542.18,43.052
849,1542.168,43.055
850,1542.156,43.049
851,1542.144,43.046
852,1542.128,43.053
853,1542.116,43.048
854,1542.104,43.043
855,1542.092,43.041
856,1542.08,43.044
857,1542.068,43.042
858,1542.056,43.04
859,1542.044,43.039
860,1542.032,43.039
861,1542.02,43.041
862,1542.008,43.044
863,1541.996,43.043
864,1541.984,43.044
865,1541.976,43.045
866,1541.964,43.038
867,1541.952,43.037
868,1541.94,43.039
869,1541.928,43.037
870,1541.916,43.036
871,1541.904,43.037
872,1541.892,43.04
873,1541.88,43.042
874,1541.872,43.043
875,1541.86,43.035
876,1541.848,43.037
877,1541.84,43.034
878,1541.828,43.031
879,1541.816,43.034
880,1541.808,43.033
881,1541.796,43.037
882,1541.784,43.029
883,1541.776,43.033
884,1541.764,43.037
885,1541.752,43.033
886,1541.744,43.041
887,1541.732,43.03
888,1541.72,43.029
889,1541.712,43.031
890,1541.7,43.027
891,1541.688,43.042
892,1541.68,43.032
893,1541.668,43.029
894,1541.66,43.027
895,1541.652,43.029
896,1541.64,43.03
