,Unnamed: 0,time,ctwl/nm,transmissionDepth/dB,reflection/%,n_ac,n_dc
1133,1133,2022-07-12 22:38:01,1536.3274,1.7104999999999997,32.555,0.0001348216317506,-2.3692866509623827e-06
1134,1134,2022-07-12 22:39:31,1536.3263,1.6935000000000002,32.2904,0.0001348215352193,-1.303108590871143e-06
1135,1135,2022-07-12 22:41:01,1536.3255,1.4015000000000022,27.5814,0.0001348214650146,-9.477158323859977e-07
1136,1136,2022-07-12 22:42:31,1536.3292,1.706500000000002,32.4928,0.0001348217897111,4.383175168424128e-06
1137,1137,2022-07-12 22:44:00,1536.3273,1.6925000000000026,32.2748,0.0001348216229751,-2.2508224646920033e-06
1138,1138,2022-07-12 22:45:30,1536.3276,1.7010000000000003,32.4073,0.0001348216493018,3.553929515272412e-07
1139,1139,2022-07-12 22:47:00,1536.3269,1.711500000000001,32.5705,0.0001348215878727,-8.292505977041863e-07
1140,1140,2022-07-12 22:48:30,1536.3272,1.703000000000003,32.4384,0.0001348216141995,3.553930437884213e-07
1141,1141,2022-07-12 22:49:59,1536.3277,1.713000000000001,32.5938,0.0001348216580774,5.923215471447865e-07
1142,1142,2022-07-12 22:51:29,1536.3254,1.705500000000001,32.4773,0.000134821456239,-2.7246831954940587e-06
1143,1143,2022-07-12 22:52:59,1536.3268,1.7155000000000022,32.6326,0.0001348215790972,1.658501303360743e-06
1144,1144,2022-07-12 22:54:29,1536.3324,1.7315000000000005,32.8803,0.0001348220705296,6.633981031659893e-06
1145,1145,2022-07-12 22:55:59,1536.3232,0.8815000000000026,18.37,0.0001348212631763,-1.0898748388317712e-05
1146,1146,2022-07-12 22:57:29,1536.334,1.713000000000001,32.5938,0.0001348222109389,1.2794092951162819e-05
1147,1147,2022-07-12 22:58:58,1536.3215,1.7104999999999997,32.555,0.0001348211139914,-1.480809843517959e-05
1148,1148,2022-07-12 23:00:28,1536.3245,1.705500000000001,32.4773,0.0001348213772588,3.5539366845161214e-06
1149,1149,2022-07-12 23:01:58,1536.3344,1.6785000000000032,32.0562,0.0001348222460412,1.1727915485085233e-05
1150,1150,2022-07-12 23:03:28,1536.3338,0.9795000000000016,20.1913,0.0001348221933877,-7.107830340814511e-07
1151,1151,2022-07-12 23:05:04,1536.3309,1.7044999999999997,32.4617,0.0001348219388959,-3.435457817277771e-06
1152,1152,2022-07-12 23:06:34,1536.3327,1.5399999999999991,29.8545,0.0001348220968563,2.132350629525295e-06
1153,1153,2022-07-12 23:08:03,1536.3309,1.7070000000000007,32.5006,0.0001348219388959,-2.132353127835479e-06
1154,1154,2022-07-12 23:09:33,1536.3323,1.6999999999999993,32.3917,0.000134822061754,1.6584953660012481e-06
1155,1155,2022-07-12 23:11:03,1536.3204,1.6905,32.2437,0.0001348210174601,-1.4097319803826762e-05
1156,1156,2022-07-12 23:12:32,1536.329,1.703000000000003,32.4384,0.0001348217721599,1.0187921987930585e-05
1157,1157,2022-07-12 23:14:02,1536.3294,1.6954999999999991,32.3216,0.0001348218072622,4.738567134307767e-07
1158,1158,2022-07-12 23:15:32,1536.3275,0.8590000000000018,17.946,0.0001348216405262,-2.250822171678637e-06
1159,1159,2022-07-12 23:17:02,1536.3282,1.716000000000001,32.6403,0.0001348217019553,8.292498957450625e-07
1160,1160,2022-07-12 23:18:32,1536.3277,1.7034999999999982,32.4462,0.0001348216580774,-5.923215468754297e-07
1161,1161,2022-07-12 23:20:01,1536.3279,1.711500000000001,32.5705,0.0001348216756285,2.3692858790667571e-07
1162,1162,2022-07-12 23:21:34,1536.3271,1.725999999999999,32.7952,0.0001348216054239,-9.477148453921916e-07
1163,1163,2022-07-12 23:23:04,1536.3274,0.8800000000000026,18.3418,0.0001348216317506,3.553929975231469e-07
1164,1164,2022-07-12 23:24:34,1536.3243,1.729499999999998,32.8494,0.0001348213597077,-3.6724017187160303e-06
1165,1165,2022-07-12 23:26:04,1536.3273,1.7040000000000006,32.4539,0.0001348216229751,3.5539302073658966e-06
1166,1166,2022-07-12 23:27:34,1536.3209,1.7010000000000003,32.4073,0.000134821061338,-7.581749359767775e-06
1167,1167,2022-07-12 23:29:04,1536.3246,1.7019999999999982,32.4228,0.0001348213860344,4.383188292347143e-06
1168,1168,2022-07-12 23:30:37,1536.3245,1.5919999999999987,30.6893,0.0001348213772588,-1.1846455612360164e-07
1169,1169,2022-07-12 23:32:07,1536.3229,1.706500000000002,32.4928,0.0001348212368496,-1.8954348725106344e-06
1170,1170,2022-07-12 23:33:36,1536.3248,1.722999999999999,32.7488,0.0001348214035856,2.2508261276348797e-06
1171,1171,2022-07-12 23:35:09,1536.321,1.7235000000000014,32.7565,0.0001348210701135,-4.50166338957356e-06
1172,1172,2022-07-12 23:36:39,1536.3251,1.1825000000000043,23.836,0.0001348214299123,4.857044905532028e-06
1173,1173,2022-07-12 23:38:09,1536.3242,1.7200000000000024,32.7023,0.0001348213509321,-1.0661812135763064e-06
1174,1174,2022-07-12 23:39:39,1536.3206,1.6930000000000014,32.2826,0.0001348210350112,-4.264734847668249e-06
1175,1175,2022-07-12 23:41:08,1536.3217,1.6995000000000005,32.3839,0.0001348211315426,1.3031124925927148e-06
