,ctwl/nm,transmissionDepth/dB,r/%,n_ac,n_dc
83,1551.057371,1.613618707,0.310335091,3.23E-05,
84,1551.061343,1.605047107,0.308972566,3.22E-05,
85,1551.090393,1.085903782,0.221229267,2.63E-05,
86,1551.093806,0.420136879,0.092208082,1.61E-05,
87,1551.121521,0.063720242,0.014565017,6.24E-06,
88,1551.107642,0.578130001,0.12463939,1.90E-05,
89,1551.125378,0.679860847,0.144905889,2.06E-05,
90,1551.152414,1.427828698,0.280191236,3.03E-05,
91,1551.151741,0.963995965,0.199059225,2.47E-05,
92,1551.15516,0.902860109,0.187704609,2.39E-05,
93,1551.161589,1.62727534,0.312500374,3.25E-05,
94,1551.16832,0.101824603,0.02317326,7.89E-06,
95,1551.17311,1.212564406,0.243613865,2.78E-05,
96,1551.178163,0.756923571,0.159945151,2.18E-05,
97,1551.216457,0.080907707,0.018457228,7.03E-06,
98,1551.213007,0.579073887,0.124829619,1.90E-05,
99,1551.213579,0.163167859,0.036873762,1.00E-05,
100,1551.214494,0.64157815,0.137334987,2.00E-05,
101,1551.237131,2.080367077,0.380611279,3.70E-05,
102,1551.240247,0.612815748,0.131602779,1.95E-05,
103,1551.236332,1.473326791,0.287692822,3.08E-05,
104,1551.241619,0.461846522,0.100884783,1.69E-05,
105,1551.242555,0.774721565,0.163380769,2.20E-05,
106,1551.260519,3.128105155,0.513380527,4.63E-05,
107,1551.262653,3.646482076,0.568131237,5.05E-05,
108,1551.266434,1.751247757,0.331848074,3.38E-05,
109,1551.268866,1.074092763,0.219108449,2.61E-05,
110,1551.326316,4.098851283,0.610851938,5.40E-05,
111,1551.286679,1.205220302,0.242333702,2.77E-05,
112,1551.275296,1.978601145,0.365926088,3.60E-05,
113,1551.308905,1.821035622,0.34249897,3.45E-05,
114,1551.308941,3.001796941,0.499020095,4.53E-05,
115,1551.285878,2.752451417,0.469415134,4.31E-05,
116,1551.329671,0.84924087,0.177613613,2.31E-05,
117,1551.315234,1.799965945,0.339301371,3.43E-05,
118,1551.326373,1.706538438,0.324934123,3.33E-05,
119,1551.355091,1.378933964,0.27204153,2.98E-05,
120,1551.313521,1.155594507,0.233626376,2.71E-05,
121,1551.347421,0.008950546,0.002058817,2.34E-06,
